"","variable","Td.obs","ci.low","ci.upp","t1","t2"
"1","Scotland death","3.7","2.8","4.8",2020-03-24,2020-03-31
"2","London cases","5.3","5.2","5.5",2020-03-24,2020-03-31
"3","Scotland cases","4.0","3.8","4.1",2020-03-24,2020-03-31
"4","Rest of UK cases","3.9","3.8","4.0",2020-03-24,2020-03-31
"5","Ayrshire cases","3.3","2.9","3.9",2020-03-24,2020-03-31
"6","Fife cases","4.4","3.5","5.7",2020-03-24,2020-03-31
"7","Forth Valley cases","4.6","3.7","5.5",2020-03-24,2020-03-31
"8","Grampian Shetland and Orkney cases","5.6","4.6","6.9",2020-03-24,2020-03-31
"9","Greater Glasgow and Clyde cases","4.4","4.1","4.8",2020-03-24,2020-03-31
"10","Lanarkshire cases","4.1","3.6","4.7",2020-03-24,2020-03-31
"11","Lothian cases","3.6","3.2","4.1",2020-03-24,2020-03-31
"12","Tayside cases","3.2","2.8","3.7",2020-03-24,2020-03-31
"13","Borders cases","2.6","2.0","3.3",2020-03-24,2020-03-31
"14","Highland and Western Isles cases","3.5","2.6","4.7",2020-03-24,2020-03-31
"15","Dumfries and Galloway cases","3.8","3.1","4.8",2020-03-24,2020-03-31
