"","variable","Td.obs","ci.low","ci.upp","t1","t2"
"1","Scotland death",2.9,2.5,3.2,2020-03-28,2020-04-04
"2","London cases",6.8,6.7,7,2020-03-28,2020-04-04
"3","Scotland cases",4.9,4.7,5.1,2020-03-28,2020-04-04
"4","Rest of UK cases",5,4.9,5.1,2020-03-28,2020-04-04
"5","Ayrshire cases",4.7,4.1,5.3,2020-03-28,2020-04-04
"6","Borders cases",4.2,3.5,5.2,2020-03-28,2020-04-04
"7","Dumfries and Galloway cases",6.5,5.3,7.9,2020-03-28,2020-04-04
"8","Fife cases",4,3.4,4.7,2020-03-28,2020-04-04
"9","Forth Valley cases",5.8,4.9,6.8,2020-03-28,2020-04-04
"10","Grampian Shetland and Orkney cases",4.8,4.2,5.5,2020-03-28,2020-04-04
"11","Greater Glasgow and Clyde cases",5.9,5.5,6.4,2020-03-28,2020-04-04
"12","Highland and Western Isles cases",5.4,4.4,7,2020-03-28,2020-04-04
"13","Lanarkshire cases",5.1,4.6,5.6,2020-03-28,2020-04-04
"14","Lothian cases",4.2,3.8,4.7,2020-03-28,2020-04-04
"15","Tayside cases",3.6,3.2,4,2020-03-28,2020-04-04
